,Wins,Tosswins,Loss
Mumbai Indians,109.0,56.0,78.0
Chennai Super Kings,100.0,57.0,64.0
Kolkata Knight Riders,92.0,53.0,86.0
Royal Challengers Bangalore,84.0,41.0,95.0
Kings XI Punjab,82.0,35.0,94.0
Rajasthan Royals,75.0,42.0,70.0
Delhi Daredevils,67.0,35.0,94.0
Sunrisers Hyderabad,58.0,23.0,50.0
Deccan Chargers,29.0,19.0,46.0
Gujarat Lions,13.0,10.0,17.0
Pune Warriors,12.0,3.0,33.0
Rising Pune Supergiant,10.0,5.0,6.0
Delhi Capitals,10.0,7.0,6.0
Kochi Tuskers Kerala,6.0,4.0,8.0
Rising Pune Supergiants,5.0,3.0,9.0
Over,4.0,,
